SKU,Location,Quantity,Location_Detail,Warehouse,Status
Test-sku-1,01-TEST ROW,91,Test message,LUDLOW,Active
03-4086SL,B2,31,B2,ATS,Active
03-3985GY,A6,19,A6,ATS,Active
03-3985GY,B6,30,B6,ATS,Active
03-3936MN,A5,19,A5,ATS,Active
03-3936MN,B5,23,B5,ATS,Active
03-3931BK,A4,12,A4,ATS,Active
03-3931BK,B4,30,B4,ATS,Active
03-4085BK,A3,13,A3,ATS,Active
03-4085BK,B3,30,B3,ATS,Active
03-3978BL,C2,27,C2,ATS,Active
03-3978BL,C3,30,C3,ATS,Active
03-3978BL,C4,30,C4,ATS,Active
03-3978BL,C5,30,C5,ATS,Active
03-3978BL,C6,30,C6,ATS,Active
03-3978BL,D1,22,D1,ATS,Active
03-3978BL,D2,30,D2,ATS,Active
03-3978BL,D3,30,D3,ATS,Active
03-3978BL,D4,30,D4,ATS,Active
03-3978BL,D5,30,D5,ATS,Active
03-3978BL,D6,30,D6,ATS,Active
03-3982BL,E1,2,E1,ATS,Active
03-3982BL,E2,4,E2,ATS,Active
03-3982BL,E3,30,E3,ATS,Active
03-3982BL,E4,30,E4,ATS,Active
03-3982BL,E5,30,E5,ATS,Active
03-3982BL,E6,30,E6,ATS,Active
03-3982BL,E7,30,E7,ATS,Active
03-3982BL,F2,0,F2,ATS,Active
03-3982BL,F3,30,F3,ATS,Active
03-3982BL,F4,30,F4,ATS,Active
03-3982BL,F5,30,F5,ATS,Active
03-3982BL,F6,30,F6,ATS,Active
03-3982BL,F7,30,F7,ATS,Active
03-3980BL,E1,10,E1,ATS,Active
03-3980BL,G2,0,G2,ATS,Active
03-3980BL,G3,30,G3,ATS,Active
03-3980BL,G4,30,G4,ATS,Active
03-3980BL,G5,30,G5,ATS,Active
03-3980BL,G6,30,G6,ATS,Active
03-3980BL,G7,30,G7,ATS,Active
03-3981GY,H1,9,H1,ATS,Active
03-3981GY,H2,30,H2,ATS,Active
03-3981GY,H3,30,H3,ATS,Active
03-3981GY,H4,30,H4,ATS,Active
03-3981GY,H5,30,H5,ATS,Active
03-3981GY,H6,30,H6,ATS,Active
03-3981GY,I2,0,I2,ATS,Active
03-3981GY,I3,30,I3,ATS,Active
03-3981GY,I4,30,I4,ATS,Active
03-3981GY,I5,30,I5,ATS,Active
03-3981GY,I6,30,I6,ATS,Active
03-3981GY,I7,30,I7,ATS,Active
03-3983GY,J2,0,J2,ATS,Active
03-3983GY,J3,30,J3,ATS,Active
03-3983GY,J4,30,J4,ATS,Active
03-3983GY,J5,30,J5,ATS,Active
03-3983GY,J6,30,J6,ATS,Active
03-3983GY,J7,30,J7,ATS,Active
03-3983GY,K2,0,K2,ATS,Active
03-3983GY,K3,30,K3,ATS,Active
03-3983GY,K4,30,K4,ATS,Active
03-3983GY,K5,30,K5,ATS,Active
03-3983GY,K6,30,K6,ATS,Active
03-3979GY,L2,25,L2,ATS,Active
03-3979GY,L3,30,L3,ATS,Active
03-3979GY,L4,30,L4,ATS,Active
03-3979GY,L5,30,L5,ATS,Active
03-3979GY,L6,30,L6,ATS,Active
03-3979GY,M2,11,M2,ATS,Active
03-3979GY,M3,30,M3,ATS,Active
03-3979GY,M4,30,M4,ATS,Active
03-3979GY,M5,30,M5,ATS,Active
03-4070BK,M1,30,M1,ATS,Active
03-4070BK,N2,0,N2,ATS,Active
03-4070BK,N3,30,N3,ATS,Active
03-4070BK,N4,30,N4,ATS,Active
03-4070BK,N5,30,N5,ATS,Active
03-4070BK,N6,30,N6,ATS,Active
03-4070BK,N7,30,N7,ATS,Active
03-4035BL,O2,0,O2,ATS,Active
03-4035BL,O3,30,O3,ATS,Active
03-4035BL,O4,30,O4,ATS,Active
03-4035BL,O5,30,O5,ATS,Active
03-4035BL,O6,30,O6,ATS,Active
03-4035BL,O7,30,O7,ATS,Active
03-4068BK,P2,16,P2,ATS,Active
03-4068BK,P3,30,P3,ATS,Active
03-4068BK,P4,30,P4,ATS,Active
03-4068BK,P5,30,P5,ATS,Active
03-4068BK,P6,30,P6,ATS,Active
03-3986TL,R3,6,R3,ATS,Active
03-3986TL,R4,30,R4,ATS,Active
03-3986TL,R5,30,R5,ATS,Active
03-3986TL,R6,30,R6,ATS,Active
03-4034BK,S2,0,S2,ATS,Active
03-4034BK,S3,30,S3,ATS,Active
03-4034BK,S4,30,S4,ATS,Active
03-4034BK,S5,30,S5,ATS,Active
03-4034BK,S6,30,S6,ATS,Active
03-4038BL,T2,0,T2,ATS,Active
03-4038BL,T3,30,T3,ATS,Active
03-4038BL,T4,30,T4,ATS,Active
03-4038BL,T5,30,T5,ATS,Active
03-4038BL,T6,30,T6,ATS,Active
03-3976BL,U2,0,U2,ATS,Active
03-3976BL,U3,30,U3,ATS,Active
03-3976BL,U4,30,U4,ATS,Active
03-3976BL,U5,30,U5,ATS,Active
03-3976BL,U6,30,U6,ATS,Active
03-4067BL,V3,13,V3,ATS,Active
03-4067BL,V4,30,V4,ATS,Active
03-4067BL,V5,30,V5,ATS,Active
03-4067BL,V6,30,V6,ATS,Active
03-4066BK,V3,1,V3,ATS,Active
03-4072BK,W4,29,W4,ATS,Active
03-4072BK,W5,30,W5,ATS,Active
03-4072BK,W6,30,W6,ATS,Active
03-3977GY,Y5,20,Y5,ATS,Active
03-3977GY,Y6,30,Y6,ATS,Active
03-3735GY,PALLET,50,Palletized,ATS,Palletized
03-3742BK,PALLET,47,Palletized,ATS,Palletized
03-4080SL,PALLET,16,Palletized,ATS,Palletized
03-3980BL,PALLET,8,Palletized (from E1/G2-G7),ATS,Palletized
03-3744BK,PALLET,28,Palletized,ATS,Palletized
03-4081BK,PALLET,33,Palletized,ATS,Palletized
03-4070BK,PALLET,29,Palletized (from M1/N2-N7),ATS,Palletized
03-4035BL,PALLET,38,Palletized (from O2-O7),ATS,Palletized
03-4068BK,PALLET,32,Palletized (from P2-P6),ATS,Palletized
03-3990TL,PALLET,42,Palletized,ATS,Palletized
03-4034BK,PALLET,14,Palletized (from S2-S6),ATS,Palletized
03-4038BL,PALLET,4,Palletized (from T2-T6),ATS,Palletized
03-3976BL,PALLET,10,Palletized (from U2-U6),ATS,Palletized
03-3740BK,PALLET,56,Palletized,ATS,Palletized
03-3977GY,PALLET,16,Palletized (from Y5-Y6),ATS,Palletized
06-4432BK,Row 1,50,T,LUDLOW,Active
03-3970BL,Row 1,1,,LUDLOW,Active
06-4587RD,Row 1,19,T,LUDLOW,Active
03-3828GY,Row 1,1,,LUDLOW,Active
03-4230BL,Row 1,3,ø,LUDLOW,Active
03-4207BR,Row 1,2,ø,LUDLOW,Active
03-4227BL,Row 1,1,,LUDLOW,Active
03-4458GN,Row 1,2,ø,LUDLOW,Active
03-4468BR,Row 1,4,ø,LUDLOW,Active
03-4462GN,Row 1,2,ø,LUDLOW,Active
03-4450BK,Row 1,1,,LUDLOW,Active
06-4473TL,Row 1,66,T,LUDLOW,Active
03-3382BK,Row 1,7,ø,LUDLOW,Active
03-4456BL,Row 1,2,ø,LUDLOW,Active
03-3885BK,Row 1,1,ø,LUDLOW,Active
03-3861BK,Row 1,1,ø,LUDLOW,Active
06-4614GN,Row 1,1,ø,LUDLOW,Active
06-4615GN,Row 1,1,ø,LUDLOW,Active
03-4515GY,Row 1,20,T,LUDLOW,Active
03-4209GY,Row 1,1,,LUDLOW,Active
03-3882BK,Row 1,1,ø (S),LUDLOW,Active
03-3895BL,Row 1,1,ø (S),LUDLOW,Active
03-3966BL,Row 1,1,,LUDLOW,Active
03-3781BL,Row 1,1,,LUDLOW,Active
03-4448BK,Row 1,2,ø,LUDLOW,Active
03-4457GN,Row 1,2,ø,LUDLOW,Active
06-4297RD,Row 1,3,,LUDLOW,Active
06-4293MG,Row 1,1,,LUDLOW,Active
07-3529BL,Row 1,1,ø,LUDLOW,Active
03-1293BK,Row 1,1,ø,LUDLOW,Active
03-3373CL,Row 1,1,ø,LUDLOW,Active
07-3641RD,Row 1,1,ø,LUDLOW,Active
06-4296RD,Row 1,1,ø,LUDLOW,Active
07-3642VL,Row 1,3,ø,LUDLOW,Active
07-3639GR,Row 1,2,ø,LUDLOW,Active
03-3313GY,Row 1,1,ø,LUDLOW,Active
03-3300BL,Row 1,1,ø,LUDLOW,Active
06-4294MVC,Row 1,1,,LUDLOW,Active
06-4627LDV,Row 1,1,,LUDLOW,Active
06-4430RB,Row 2,22,T,LUDLOW,Active
03-3492BL,Row 2,1,,LUDLOW,Active
03-3838BK,Row 2,1,,LUDLOW,Active
03-4088SL,Row 2,1,,LUDLOW,Active
03-3807GN,Row 2,1,,LUDLOW,Active
03-3789BL,Row 2,4,,LUDLOW,Active
03-3827BL,Row 2,3,,LUDLOW,Active
07-3674GY,Row 2,3,ø,LUDLOW,Active
03-4449BK,Row 2,2,ø,LUDLOW,Active
03-3954GY,Row 2,1,ø,LUDLOW,Active
03-3892RD,Row 2,2,ø,LUDLOW,Active
06-4573GY,Row 2,42,T ø,LUDLOW,Active
06-4447BL,Row 2,2,ø,LUDLOW,Active
06-4445WH,Row 2,6,ø,LUDLOW,Active
03-3934MN,Row 2,33,T,LUDLOW,Active
03-3027CL,Row 2,1,,LUDLOW,Active
06-4524KW,Row 2,1,,LUDLOW,Active
06-4457RD,Row 2,3,ø,LUDLOW,Active
03-4032BL,Row 2,1,,LUDLOW,Active
06-4611GN,Row 2,1,,LUDLOW,Active
03-4454BL,Row 2,1,ø,LUDLOW,Active
06-4448WH,Row 2,1,ø,LUDLOW,Active
06-4617RD,Row 2,32,T ø,LUDLOW,Active
03-4460GN,Row 2,7,ø,LUDLOW,Active
03-4059PD,Row 2,1,ø,LUDLOW,Active
03-4231BL,Row 2,2,,LUDLOW,Active
03-4076SG,Row 2,1,,LUDLOW,Active
06-4616RD,Row 2,11,ø,LUDLOW,Active
03-3803BL,Row 2,19,T,LUDLOW,Active
03-4512GY,Row 3,34,T,LUDLOW,Active
03-3927BK,Row 3,31,T,LUDLOW,Active
03-3977GY,Row 3,26,T,LUDLOW,Active
03-3978BL,Row 3,18,T,LUDLOW,Active
06-4585RD,Row 3,6,ø,LUDLOW,Active
03-4044BK,Row 3,17,,LUDLOW,Active
03-3999PD,Row 3,33,T,LUDLOW,Active
03-4046MN,Row 3,2,,LUDLOW,Active
03-4069BL,Row 3,11,,LUDLOW,Active
03-4536BL,Row 3,4,,LUDLOW,Active
03-3997PD,Row 3,25,T,LUDLOW,Active
06-4562BL,Row 4,26,T ø,LUDLOW,Active
06-4435BK,Row 4,82,T,LUDLOW,Active
03-3995PD,Row 4,3,,LUDLOW,Active
03-4258BL,Row 4,7,,LUDLOW,Active
06-4572GY,Row 4,50,T ø,LUDLOW,Active
03-4257BL,Row 4,4,,LUDLOW,Active
06-4606OR,Row 4,52,T,LUDLOW,Active
03-4455BL,Row 4,2,ø,LUDLOW,Active
06-4590BL,Row 5,27,T,LUDLOW,Active
03-4161BL,Row 5,43,T ',LUDLOW,Active
03-4467BR,Row 5,6,,LUDLOW,Active
03-3031SL,Row 5,1,,LUDLOW,Active
06-4455SL,Row 5,20,T ø,LUDLOW,Active
06-4456BL,Row 5,23,T,LUDLOW,Active
03-4466BR,Row 5,15,,LUDLOW,Active
06-4450BL,Row 5,25,T,LUDLOW,Active
06-4461SL,Row 5,4,,LUDLOW,Active
06-4565BL,Row 5,1,ø,LUDLOW,Active
03-4057PD,Row 5,2,,LUDLOW,Active
06-4641BK,Row 5,16,,LUDLOW,Active
03-3501BL,Row 5,2,,LUDLOW,Active
03-3872BL,Row 5,27,T ø,LUDLOW,Active
03-3908GY,Row 6,53,T,LUDLOW,Active
03-3899BL,Row 6,6,,LUDLOW,Active
03-3905BL,Row 6,6,,LUDLOW,Active
03-4547MN,Row 6,12,,LUDLOW,Active
03-3746GY,Row 6,3,,LUDLOW,Active
03-3848BK,Row 6,5,,LUDLOW,Active
06-4566VL,Row 6,10,,LUDLOW,Active
06-4470TL,Row 6,53,T,LUDLOW,Active
06-4458SL,Row 6,28,T,LUDLOW,Active
06-4451BK,Row 6,13,,LUDLOW,Active
03-3517BL,Row 6,1,,LUDLOW,Active
06-4608MN,Row 6,2,,LUDLOW,Active
03-4075BL,Row 7,1,,LUDLOW,Active
03-4068BK,Row 7,30,,LUDLOW,Active
03-3993PD,Row 7,7,,LUDLOW,Active
03-4251BK,Row 7,5,,LUDLOW,Active
03-4242GY,Row 7,3,,LUDLOW,Active
03-4461GN,Row 7,3,,LUDLOW,Active
03-4070BK,Row 7,30,T,LUDLOW,Active
03-4531GY,Row 7,8,,LUDLOW,Active
03-4213GY,Row 7,6,,LUDLOW,Active
03-4473BK,Row 7,7,,LUDLOW,Active
03-3744BK,Row 7,29,T,LUDLOW,Active
03-4259BL,Row 7,3,,LUDLOW,Active
03-4277GN,Row 7,2,,LUDLOW,Active
03-4199GN,Row 7,2,,LUDLOW,Active
06-4427RB,Row 7,33,T,LUDLOW,Active
03-3842BR,Row 7,5,*,LUDLOW,Active
03-3842BL,Row 7,13,*,LUDLOW,Active
03-3060CL,Row 7,3,,LUDLOW,Active
06-4452SL,Row 7,28,T,LUDLOW,Active
06-4607OR,Row 8,22,T,LUDLOW,Active
03-4066BK,Row 8,16,,LUDLOW,Active
03-3859BL,Row 8,10,,LUDLOW,Active
03-4040BK,Row 8,33,T,LUDLOW,Active
03-3767MN,Row 8,6,ø,LUDLOW,Active
03-4254BK,Row 8,2,,LUDLOW,Active
06-4485BL,Row 8,39,T ø,LUDLOW,Active
06-4563BL,Row 8,57,T,LUDLOW,Active
03-4464BR,Row 8,8,,LUDLOW,Active
03-3502BL,Row 8,3,,LUDLOW,Active
03-3516BL,Row 8,2,,LUDLOW,Active
03-3062CL,Row 8,4,,LUDLOW,Active
03-3058CL,Row 8,3,,LUDLOW,Active
03-2540WH,Row 8,2,,LUDLOW,Active
03-3793PD,Row 9,22,T,LUDLOW,Active
03-3901BL,Row 9,38,T,LUDLOW,Active
03-3960GY,Row 9,10,ø,LUDLOW,Active
03-4200GN,Row 9,4,,LUDLOW,Active
03-4261BR,Row 9,7,,LUDLOW,Active
03-3988TL,Row 9,27,T,LUDLOW,Active
03-3992BL,Row 9,14,,LUDLOW,Active
03-3965BL,Row 9,30,T,LUDLOW,Active
03-4056BL,Row 9,3,,LUDLOW,Active
03-4011SL,Row 9,14,,LUDLOW,Active
03-3985GY,Row 9,27,T,LUDLOW,Active
03-4054BL,Row 9,1,,LUDLOW,Active
03-4528GY,Row 10,24,T,LUDLOW,Active
03-4530GY,Row 10,15,,LUDLOW,Active
03-4529GY,Row 10,27,T,LUDLOW,Active
03-4250BK,Row 10,4,,LUDLOW,Active
03-4533BL,Row 10,16,,LUDLOW,Active
03-3764BK,Row 10,3,ø,LUDLOW,Active
03-4253BK,Row 10,23,T,LUDLOW,Active
03-4545MN,Row 10,12,,LUDLOW,Active
03-3980BL,Row 10,20,T,LUDLOW,Active
03-3969BL,Row 10,2,,LUDLOW,Active
03-4052BL,Row 10,3,ø,LUDLOW,Active
03-4051PD,Row 10,5,ø,LUDLOW,Active
03-4058BL,Row 10,14,T,LUDLOW,Active
03-4370BL,Row 10,22,T,LUDLOW,Active
06-4515BK,Row 11,44,T ø,LUDLOW,Active
03-4085BK,Row 11,35,T,LUDLOW,Active
06-4586BL,Row 11,22,ø,LUDLOW,Active
03-4067BL,Row 11,30,,LUDLOW,Active
03-3912GY,Row 11,29,T,LUDLOW,Active
03-4212GY,Row 11,17,,LUDLOW,Active
03-4023SL,Row 11,2,,LUDLOW,Active
06-4523BK,Row 11,3,,LUDLOW,Active
03-3754GY,Row 11,4,,LUDLOW,Active
03-3750GY,Row 11,1,,LUDLOW,Active
03-3846BL,Row 11,11,,LUDLOW,Active
06-4457BK,Row 11,15,T,LUDLOW,Active
03-3853GY,Row 12,22,T,LUDLOW,Active
06-4588BL,Row 12,32,T,LUDLOW,Active
03-4463BR,Row 12,5,ø,LUDLOW,Active
03-3846BR,Row 12,5,,LUDLOW,Active
03-3917BR,Row 12,5,,LUDLOW,Active
03-3817GY,Row 12,2,,LUDLOW,Active
03-4201GN,Row 12,3,,LUDLOW,Active
03-3994BL,Row 12,16,,LUDLOW,Active
